"","2015 rank","City","State","2015 Estimate","2011 Census","Change","2015 land area","2015 population density","Location"
"68",68,"Recklinghausen","North Rhine-Westphalia","114,330","115,958","2999859604339502229<U+2660>-1.40%","66.5 km2
25.7 sq mi","1,719/km2
4,450/sq mi","51°35'6<U+2033>N 7°9'43<U+2033>E<U+FEFF> / <U+FEFF>51.58500°N 7.16194°E<U+FEFF> / 51.58500; 7.16194<U+FEFF> (68 Recklinghausen)"
"69",69,"Reutlingen","Baden-Württemberg","114,310","109,799","7000410841628794429<U+2660>+4.11%","87.06 km2
33.61 sq mi","1,313/km2
3,400/sq mi","48°29'N 9°13'E<U+FEFF> / <U+FEFF>48.483°N 9.217°E<U+FEFF> / 48.483; 9.217<U+FEFF> (69 Reutlingen)"
"70",70,"Bremerhaven","Bremen","114,025","108,156","7000542642109545469<U+2660>+5.43%","93.66 km2
36.16 sq mi","1,217/km2
3,150/sq mi","53°33'N 8°35'E<U+FEFF> / <U+FEFF>53.550°N 8.583°E<U+FEFF> / 53.550; 8.583<U+FEFF> (70 Bremerhaven)"
"71",71,"Koblenz","Rhineland-Palatinate","112,586","107,825","7000441548805935539<U+2660>+4.42%","105.16 km2
40.60 sq mi","1,071/km2
2,770/sq mi","50°21'35<U+2033>N 7°35'52<U+2033>E<U+FEFF> / <U+FEFF>50.35972°N 7.59778°E<U+FEFF> / 50.35972; 7.59778<U+FEFF> (71 Koblenz)"
"72",72,"Bergisch Gladbach","North Rhine-Westphalia","111,366","108,878","7000228512647183090<U+2660>+2.29%","83.09 km2
32.08 sq mi","1,340/km2
3,500/sq mi","51°6'N 7°7'E<U+FEFF> / <U+FEFF>51.100°N 7.117°E<U+FEFF> / 51.100; 7.117<U+FEFF> (72 Bergisch Gladbach)"
"73",73,"Jena","Thuringia","109,527","105,739","7000358240573487550<U+2660>+3.58%","114.76 km2
44.31 sq mi","954/km2
2,470/sq mi","50°55'38<U+2033>N 11°35'10<U+2033>E<U+FEFF> / <U+FEFF>50.92722°N 11.58611°E<U+FEFF> / 50.92722; 11.58611<U+FEFF> (73 Jena)"
"74",74,"Remscheid","North Rhine-Westphalia","109,499","110,708","2999890793799906060<U+2660>-1.09%","74.52 km2
28.77 sq mi","1,469/km2
3,800/sq mi","51°11'N 7°12'E<U+FEFF> / <U+FEFF>51.183°N 7.200°E<U+FEFF> / 51.183; 7.200<U+FEFF> (74 Remscheid)"
"75",75,"Erlangen","Bavaria","108,336","103,719","7000445145055390039<U+2660>+4.45%","76.95 km2
29.71 sq mi","1,408/km2
3,650/sq mi","49°35'N 11°1'E<U+FEFF> / <U+FEFF>49.583°N 11.017°E<U+FEFF> / 49.583; 11.017<U+FEFF> (75 Erlangen)"
"76",76,"Moers","North Rhine-Westphalia","104,529","104,009","6999499956734513350<U+2660>+0.50%","67.68 km2
26.13 sq mi","1,544/km2
4,000/sq mi","51°27'33<U+2033>N 6°37'11<U+2033>E<U+FEFF> / <U+FEFF>51.45917°N 6.61972°E<U+FEFF> / 51.45917; 6.61972<U+FEFF> (76 Moers)"
"77",77,"Siegen","North Rhine-Westphalia","102,355","99,187","7000319396695131420<U+2660>+3.19%","114.69 km2
44.28 sq mi","892/km2
2,310/sq mi","50°53'N 8°1'E<U+FEFF> / <U+FEFF>50.883°N 8.017°E<U+FEFF> / 50.883; 8.017<U+FEFF> (77 Siegen)"
"78",78,"Hildesheim","Lower Saxony","101,667","99,554","7000212246619924870<U+2660>+2.12%","92.18 km2
35.59 sq mi","1,103/km2
2,860/sq mi","52°9'N 9°57'E<U+FEFF> / <U+FEFF>52.150°N 9.950°E<U+FEFF> / 52.150; 9.950<U+FEFF> (78 Hildesheim)"
"79",79,"Salzgitter","Lower Saxony","101,079","98,895","7000220840285150920<U+2660>+2.21%","223.92 km2
86.46 sq mi","451/km2
1,170/sq mi","52°9'N 10°20'E<U+FEFF> / <U+FEFF>52.150°N 10.333°E<U+FEFF> / 52.150; 10.333<U+FEFF> (79 Salzgitter)"
